58100|31|12|440dpi|1080x2177|Xiaomi|sweet|M2101K6G|qcom|379517355|Instagram 241.1.0.18.114 Android (31/12; 440dpi; 1080x2177; Xiaomi/Redmi; M2101K6G; sweet; qcom; it_IT; 379517355)
58101|30|11|280dpi|720x1516|samsung|a22|SM-A225F|mt6769t|379517319|Instagram 241.1.0.18.114 Android (30/11; 280dpi; 720x1516; samsung; SM-A225F; a22; mt6769t; in_ID; 379517319)
58102|31|12|420dpi|1080x2186|samsung|a52q|SM-A525F|qcom|379517355|Instagram 241.1.0.18.114 Android (31/12; 420dpi; 1080x2186; samsung; SM-A525F; a52q; qcom; en_US; 379517355)
58103|31|12|510dpi|1080x2393|samsung|b2q|SM-F711B|qcom|379517355|Instagram 241.1.0.18.114 Android (31/12; 510dpi; 1080x2393; samsung; SM-F711B; b2q; qcom; ar_AE; 379517355)
58104|31|12|420dpi|1080x2196|samsung|x1s|SM-G980F|exynos990|379517355|Instagram 241.1.0.18.114 Android (31/12; 420dpi; 1080x2196; samsung; SM-G980F; x1s; exynos990; ru_RU; 379517355)
58105|30|11|480dpi|1080x2340|vivo|1818|vivo 1818|qcom|379517355|Instagram 241.1.0.18.114 Android (30/11; 480dpi; 1080x2340; vivo; vivo 1818; 1818; qcom; en_US; 379517355)
58106|31|12|420dpi|1080x2186|samsung|a51|SM-A515F|exynos9611|379517355|Instagram 241.1.0.18.114 Android (31/12; 420dpi; 1080x2186; samsung; SM-A515F; a51; exynos9611; lv_LV; 379517355)
58107|30|11|420dpi|1080x2198|samsung|a70q|SM-A705FN|qcom|379517355|Instagram 241.1.0.18.114 Android (30/11; 420dpi; 1080x2198; samsung; SM-A705FN; a70q; qcom; ru_RU; 379517355)
58108|29|10|320dpi|720x1384|samsung|j6lte|SM-J600FN|samsungexynos7870|379517343|Instagram 241.1.0.18.114 Android (29/10; 320dpi; 720x1384; samsung; SM-J600FN; j6lte; samsungexynos7870; ru_RU; 379517343)
58109|31|12|420dpi|1080x2176|samsung|beyondx|SM-G977N|exynos9820|380645892|Instagram 243.0.0.0.43 Android (31/12; 420dpi; 1080x2176; samsung; SM-G977N; beyondx; exynos9820; en_US; 380645892)
58110|29|10|480dpi|1080x2168|samsung|r8q|SM-G781B|qcom|379517355|Instagram 241.1.0.18.114 Android (29/10; 480dpi; 1080x2168; samsung; SM-G781B; r8q; qcom; iw_IL; 379517355)
58111|29|10|440dpi|1080x2296|Xiaomi|davinci|Mi 9T|qcom|379517355|Instagram 241.1.0.18.114 Android (29/10; 440dpi; 1080x2296; Xiaomi; Mi 9T; davinci; qcom; it_IT; 379517355)
58112|31|12|480dpi|1080x2150|OPPO|OP4F4DL1|CPH2211|mt6853|380645781|Instagram 243.0.0.0.43 Android (31/12; 480dpi; 1080x2150; OPPO; CPH2211; OP4F4DL1; mt6853; it_IT; 380645781)
58113|29|10|480dpi|1080x2107|HUAWEI|HWMAR|MAR-LX1A|kirin710|379517355|Instagram 241.1.0.18.114 Android (29/10; 480dpi; 1080x2107; HUAWEI; MAR-LX1A; HWMAR; kirin710; it_IT; 379517355)
58114|30|11|440dpi|1080x2196|Xiaomi|merlinnfc|M2003J15SC|mt6768|379517355|Instagram 241.1.0.18.114 Android (30/11; 440dpi; 1080x2196; Xiaomi/Redmi; M2003J15SC; merlinnfc; mt6768; it_IT; 379517355)
58115|28|9|320dpi|720x1369|asus|ASUS_X01A_1|ASUS_X01AD|qcom|379517353|Instagram 241.1.0.18.114 Android (28/9; 320dpi; 720x1369; asus; ASUS_X01AD; ASUS_X01A_1; qcom; it_IT; 379517353)
58116|24|7.0|320dpi|720x1356|Meizu|MeizuM6T|M6T|mt6755|380288947|Instagram 242.0.0.13.111 Android (24/7.0; 320dpi; 720x1356; Meizu; M6T; MeizuM6T; mt6755; it_IT; 380288947)      
58117|30|11|440dpi|1080x2130|Xiaomi|willow|Redmi Note 8T|qcom|381185749|Instagram 242.0.0.16.111 Android (30/11; 440dpi; 1080x2130; Xiaomi/xiaomi; Redmi Note 8T; willow; qcom; it_IT; 381185749)
58118|31|12|420dpi|1080x2186|samsung|a52q|SM-A525M|qcom|379517355|Instagram 241.1.0.18.114 Android (31/12; 420dpi; 1080x2186; samsung; SM-A525M; a52q; qcom; pt_BR; 379517355)    
58119|29|10|640dpi|1440x2768|samsung|starlte|SM-G960F|samsungexynos9810|379517356|Instagram 241.1.0.18.114 Android (29/10; 640dpi; 1440x2768; samsung; SM-G960F; starlte; samsungexynos9810; it_IT; 379517356)
58120|30|11|420dpi|1080x2218|samsung|a50|SM-A505FN|exynos9610|379517355|Instagram 241.1.0.18.114 Android (30/11; 420dpi; 1080x2218; samsung; SM-A505FN; a50; exynos9610; it_IT; 379517355)
58121|30|11|440dpi|1080x2134|Xiaomi|begonia|Redmi Note 8 Pro|mt6785|379517355|Instagram 241.1.0.18.114 Android (30/11; 440dpi; 1080x2134; Xiaomi/Redmi; Redmi Note 8 Pro; begonia; mt6785; it_IT; 379517355)
58122|31|12|420dpi|1080x2042|samsung|beyond1|SM-G973F|exynos9820|379517355|Instagram 241.1.0.18.114 Android (31/12; 420dpi; 1080x2042; samsung; SM-G973F; beyond1; exynos9820; pt_BR; 379517355)
58123|31|12|450dpi|1080x2179|samsung|a72q|SM-A725F|qcom|379517319|Instagram 241.1.0.18.114 Android (31/12; 450dpi; 1080x2179; samsung; SM-A725F; a72q; qcom; ru_RU; 379517319)    
58124|29|10|480dpi|1080x2139|HUAWEI|HWHRY-H|HRY-LX1|kirin710|379517355|Instagram 241.1.0.18.114 Android (29/10; 480dpi; 1080x2139; HUAWEI/HONOR; HRY-LX1; HWHRY-H; kirin710; ru_BY; 379517355)
58125|29|10|480dpi|1080x2037|HUAWEI|HWCLT|CLT-L29|kirin970|378116740|Instagram 240.2.0.18.107 Android (29/10; 480dpi; 1080x2037; HUAWEI; CLT-L29; HWCLT; kirin970; ru_LV; 378116740)
58126|30|11|440dpi|1080x2130|Xiaomi|ginkgo|Redmi Note 8|qcom|379517355|Instagram 241.1.0.18.114 Android (30/11; 440dpi; 1080x2130; Xiaomi/xiaomi; Redmi Note 8; ginkgo; qcom; tr_TR; 379517355)
58127|31|12|480dpi|1080x2113|samsung|m31|SM-M315F|exynos9611|379517256|Instagram 241.1.0.18.114 Android (31/12; 480dpi; 1080x2113; samsung; SM-M315F; m31; exynos9611; ru_RU; 379517256)
58128|30|11|440dpi|1080x2168|Xiaomi|joyeuse|Redmi Note 9 Pro|qcom|379517326|Instagram 241.1.0.18.114 Android (30/11; 440dpi; 1080x2168; Xiaomi/Redmi; Redmi Note 9 Pro; joyeuse; qcom; iw_IL; 379517326)
58129|29|10|540dpi|1080x2147|HUAWEI|HWVOG|VOG-L29|kirin980|379517319|Instagram 241.1.0.18.114 Android (29/10; 540dpi; 1080x2147; HUAWEI; VOG-L29; HWVOG; kirin980; en_US; 379517319)
58130|28|9|480dpi|1080x2076|samsung|jackpotlte|SM-A530F|samsungexynos7885|371679877|Instagram 236.0.0.20.109 Android (28/9; 480dpi; 1080x2076; samsung; SM-A530F; jackpotlte; samsungexynos7885; en_GB; 371679877)
58131|30|11|300dpi|720x1467|samsung|a12s|SM-A127F|exynos850|379517348|Instagram 241.1.0.18.114 Android (30/11; 300dpi; 720x1467; samsung; SM-A127F; a12s; exynos850; iw_IL; 379517348)
58132|31|12|480dpi|1080x2178|samsung|x1s|SM-G980F|exynos990|379517355|Instagram 241.1.0.18.114 Android (31/12; 480dpi; 1080x2178; samsung; SM-G980F; x1s; exynos990; en_IE; 379517355)
58133|31|12|640dpi|1440x2706|samsung|beyond2|SM-G975F|exynos9820|379517356|Instagram 241.1.0.18.114 Android (31/12; 640dpi; 1440x2706; samsung; SM-G975F; beyond2; exynos9820; iw_IL; 379517356)
58134|30|11|440dpi|1080x2130|Xiaomi|willow|Redmi Note 8T|qcom|381185749|Instagram 242.0.0.16.111 Android (30/11; 440dpi; 1080x2130; Xiaomi/xiaomi; Redmi Note 8T; willow; qcom; it_IT; 381185749)
58135|30|11|280dpi|720x1381|samsung|a10s|SM-A107F|mt6762|379517343|Instagram 241.1.0.18.114 Android (30/11; 280dpi; 720x1381; samsung; SM-A107F; a10s; mt6762; en_US; 379517343)  
58136|30|11|440dpi|1080x2220|Xiaomi|lancelot|M2004J19C|mt6768|379517355|Instagram 241.1.0.18.114 Android (30/11; 440dpi; 1080x2220; Xiaomi/Redmi; M2004J19C; lancelot; mt6768; in_ID; 379517355)
58137|28|9|440dpi|1080x2134|Xiaomi|begonia|Redmi Note 8 Pro|mt6785|378116740|Instagram 240.2.0.18.107 Android (28/9; 440dpi; 1080x2134; Xiaomi/Redmi; Redmi Note 8 Pro; begonia; mt6785; it_IT; 378116740)
58138|30|11|420dpi|1080x2131|samsung|a50|SM-A505FN|exynos9610|379517355|Instagram 241.1.0.18.114 Android (30/11; 420dpi; 1080x2131; samsung; SM-A505FN; a50; exynos9610; it_IT; 379517355)
58139|30|11|300dpi|720x1465|samsung|a12|SM-A125F|mt6765|381185630|Instagram 242.0.0.16.111 Android (30/11; 300dpi; 720x1465; samsung; SM-A125F; a12; mt6765; it_IT; 381185630)    
58140|29|10|560dpi|1440x2907|samsung|star2qltechn|SM-G9650|qcom|381185749|Instagram 242.0.0.16.111 Android (29/10; 560dpi; 1440x2907; samsung; SM-G9650; star2qltechn; qcom; pt_BR; 381185749)
58141|29|10|440dpi|1080x2130|Xiaomi|willow|Redmi Note 8T|qcom|379517355|Instagram 241.1.0.18.114 Android (29/10; 440dpi; 1080x2130; Xiaomi/xiaomi; Redmi Note 8T; willow; qcom; it_IT; 379517355)
58142|30|11|300dpi|720x1529|samsung|a12s|SM-A127F|exynos850|379517353|Instagram 241.1.0.18.114 Android (30/11; 300dpi; 720x1529; samsung; SM-A127F; a12s; exynos850; en_GB; 379517353)
58143|31|12|420dpi|1080x2281|samsung|a32|SM-A325F|mt6769t|379517355|Instagram 241.1.0.18.114 Android (31/12; 420dpi; 1080x2281; samsung; SM-A325F; a32; mt6769t; tr_TR; 379517355)
58144|31|12|420dpi|1080x2186|samsung|a51|SM-A515F|exynos9611|379517355|Instagram 241.1.0.18.114 Android (31/12; 420dpi; 1080x2186; samsung; SM-A515F; a51; exynos9611; lv_LV; 379517355)
58145|30|11|440dpi|1080x2132|Xiaomi|citrus|M2010J19CG|qcom|379517355|Instagram 241.1.0.18.114 Android (30/11; 440dpi; 1080x2132; Xiaomi/POCO; M2010J19CG; citrus; qcom; ru_RU; 379517355)
58146|25|7.1.2|320dpi|720x1280|Xiaomi|riva|Redmi 5A|qcom|379517353|Instagram 241.1.0.18.114 Android (25/7.1.2; 320dpi; 720x1280; Xiaomi; Redmi 5A; riva; qcom; ru_RU; 379517353)  
58147|25|7.1.1|320dpi|720x1280|samsung|j5xnlte|SM-J510FQ|qcom|379517343|Instagram 241.1.0.18.114 Android (25/7.1.1; 320dpi; 720x1280; samsung; SM-J510FQ; j5xnlte; qcom; tr_TR; 379517343)
58148|30|11|480dpi|1080x2178|samsung|x1s|SM-G980F|exynos990|379517355|Instagram 241.1.0.18.114 Android (30/11; 480dpi; 1080x2178; samsung; SM-G980F; x1s; exynos990; ru_RU; 379517355)
58149|31|12|440dpi|1080x2177|Xiaomi|sunny|M2101K7AG|qcom|381185749|Instagram 242.0.0.16.111 Android (31/12; 440dpi; 1080x2177; Xiaomi/Redmi; M2101K7AG; sunny; qcom; es_US; 381185749)
58150|31|12|420dpi|1080x2047|samsung|beyond2|SM-G975F|exynos9820|379517355|Instagram 241.1.0.18.114 Android (31/12; 420dpi; 1080x2047; samsung; SM-G975F; beyond2; exynos9820; iw_IL; 379517355)
58151|30|11|420dpi|1080x2131|samsung|a50|SM-A505F|exynos9610|381185749|Instagram 242.0.0.16.111 Android (30/11; 420dpi; 1080x2131; samsung; SM-A505F; a50; exynos9610; en_US; 381185749)
58152|31|12|480dpi|1080x2402|samsung|b2q|SM-F711B|qcom|381185644|Instagram 242.0.0.16.111 Android (31/12; 480dpi; 1080x2402; samsung; SM-F711B; b2q; qcom; it_IT; 381185644)      
58153|30|11|440dpi|1080x2220|Xiaomi|begonia|Redmi Note 8 Pro|mt6785|379517355|Instagram 241.1.0.18.114 Android (30/11; 440dpi; 1080x2220; Xiaomi/Redmi; Redmi Note 8 Pro; begonia; mt6785; it_IT; 379517355)
58154|29|10|420dpi|1080x2131|samsung|a50|SM-A505FN|exynos9610|348183242|Instagram 220.0.0.16.115 Android (29/10; 420dpi; 1080x2131; samsung; SM-A505FN; a50; exynos9610; it_IT; 348183242)
58155|31|12|450dpi|1080x2321|samsung|a31|SM-A315G|mt6768|381185517|Instagram 242.0.0.16.111 Android (31/12; 450dpi; 1080x2321; samsung; SM-A315G; a31; mt6768; it_IT; 381185517)  
58156|30|11|440dpi|1080x2168|Xiaomi|joyeuse|Redmi Note 9 Pro|qcom|381185749|Instagram 242.0.0.16.111 Android (30/11; 440dpi; 1080x2168; Xiaomi/Redmi; Redmi Note 9 Pro; joyeuse; qcom; it_IT; 381185749)
58157|29|10|320dpi|720x1480|samsung|starlte|SM-G960F|samsungexynos9810|379517353|Instagram 241.1.0.18.114 Android (29/10; 320dpi; 720x1480; samsung; SM-G960F; starlte; samsungexynos9810; it_IT; 379517353)
58158|30|11|300dpi|720x1467|samsung|a12s|SM-A127F|exynos850|381185720|Instagram 242.0.0.16.111 Android (30/11; 300dpi; 720x1467; samsung; SM-A127F; a12s; exynos850; it_IT; 381185720)
58159|30|11|300dpi|720x1467|samsung|a12s|SM-A127M|exynos850|379517348|Instagram 241.1.0.18.114 Android (30/11; 300dpi; 720x1467; samsung; SM-A127M; a12s; exynos850; pt_BR; 379517348)
58160|30|11|440dpi|1080x2168|Xiaomi|joyeuse|Redmi Note 9 Pro|qcom|381185749|Instagram 242.0.0.16.111 Android (30/11; 440dpi; 1080x2168; Xiaomi/Redmi; Redmi Note 9 Pro; joyeuse; qcom; it_IT; 381185749)
58161|28|9|320dpi|720x1351|LGE|mmh4|LM-X420|mmh4|379517343|Instagram 241.1.0.18.114 Android (28/9; 320dpi; 720x1351; LGE/lge; LM-X420; mmh4; mmh4; pt_BR; 379517343)
58162|26|8.0.0|320dpi|720x1280|samsung|j3y17lte|SM-J330F|samsungexynos7570|379517343|Instagram 241.1.0.18.114 Android (26/8.0.0; 320dpi; 720x1280; samsung; SM-J330F; j3y17lte; samsungexynos7570; tr_TR; 379517343)
58163|31|12|480dpi|1080x2161|OPPO|OP4BA5L1|CPH2109|qcom|381185749|Instagram 242.0.0.16.111 Android (31/12; 480dpi; 1080x2161; OPPO; CPH2109; OP4BA5L1; qcom; ru_RU; 381185749)    
58164|30|11|480dpi|1080x2198|OPPO|OP4B9EL1|CPH2043|mt6779|381185749|Instagram 242.0.0.16.111 Android (30/11; 480dpi; 1080x2198; OPPO; CPH2043; OP4B9EL1; mt6779; tr_TR; 381185749)
58165|29|10|420dpi|1080x2094|samsung|star2lte|SM-G965F|samsungexynos9810|379517355|Instagram 241.1.0.18.114 Android (29/10; 420dpi; 1080x2094; samsung; SM-G965F; star2lte; samsungexynos9810; iw_IL; 379517355)
58166|29|10|420dpi|1080x2094|samsung|crownlte|SM-N960F|samsungexynos9810|381185517|Instagram 242.0.0.16.111 Android (29/10; 420dpi; 1080x2094; samsung; SM-N960F; crownlte; samsungexynos9810; iw_IL; 381185517)
58167|31|12|450dpi|1080x2148|samsung|d1|SM-N970F|exynos9825|381185749|Instagram 242.0.0.16.111 Android (31/12; 450dpi; 1080x2148; samsung; SM-N970F; d1; exynos9825; it_IT; 381185749)
58168|28|9|420dpi|1080x2034|OnePlus|OnePlus5T|ONEPLUS A5010|qcom|381185749|Instagram 242.0.0.16.111 Android (28/9; 420dpi; 1080x2034; OnePlus; ONEPLUS A5010; OnePlus5T; qcom; en_GB; 381185749)
58169|28|9|320dpi|720x1422|HUAWEI|HWMRD-M1|MRD-LX1|mt6761|381185702|Instagram 242.0.0.16.111 Android (28/9; 320dpi; 720x1422; HUAWEI; MRD-LX1; HWMRD-M1; mt6761; it_IT; 381185702)
58170|29|10|440dpi|1080x2130|Xiaomi|ginkgo|Redmi Note 8|qcom|381185749|Instagram 242.0.0.16.111 Android (29/10; 440dpi; 1080x2130; Xiaomi/xiaomi; Redmi Note 8; ginkgo; qcom; pt_BR; 381185749)
58171|30|11|320dpi|720x1406|samsung|a20e|SM-A202F|exynos7884B|379517353|Instagram 241.1.0.18.114 Android (30/11; 320dpi; 720x1406; samsung; SM-A202F; a20e; exynos7884B; it_IT; 379517353)
58172|30|11|440dpi|1080x2167|Xiaomi|eos|21061119DG|mt6768|379517355|Instagram 241.1.0.18.114 Android (30/11; 440dpi; 1080x2167; Xiaomi/Redmi; 21061119DG; eos; mt6768; it_IT; 379517355)
58173|29|10|540dpi|1080x2137|HUAWEI|HWJSN-H|JSN-L21|kirin710|360889105|Instagram 229.0.0.17.118 Android (29/10; 540dpi; 1080x2137; HUAWEI/HONOR; JSN-L21; HWJSN-H; kirin710; ru_BY; 360889105)
